School Name,School ID,network_num,sch-type,ACT Composite Mean,,,,,,,,,,,,,,,,
,,Network 11,Average,16.3,,,,,,,,,,,,,,,,
EPIC HS,400094,Network 12,Charter,17.5,,,,,,,,,,,,,,,,
NOBLE - COMER,400052,Network 12,Charter,17.9,,,,,,,,,,,,,,,,
BOWEN HS,610323,Network 12,District,14.6,,,,,,,,,,,,,,,,
CHICAGO VOCATIONAL HS,609674,Network 12,District,15.6,,,,,,,,,,,,,,,,
HARLAN HS,609710,Network 12,District,15.2,,,,,,,,,,,,,,,,
HIRSCH HS,609712,Network 12,District,13.1,,,,,,,,,,,,,,,,
SOUTH SHORE INTL HS,610547,Network 12,District,17.9,,,,,,,,,,,,,,,,
,,Network 12,Average,16.0,,,,,,,,,,,,,,,,
CICS - HAWKINS HS,400108,Network 13,Charter,14.3,,,,,,,,,,,,,,,,
BROOKS HS,609726,Network 13,District,22.5,,,,,,,,,,,,,,,,
CORLISS HS,609761,Network 13,District,14.3,,,,,,,,,,,,,,,,
FENGER HS,609705,Network 13,District,14.7,,,,,,,,,,,,,,,,
JULIAN HS,609762,Network 13,District,14.7,,,,,,,,,,,,,,,,
WASHINGTON HS,609739,Network 13,District,17.7,,,,,,,,,,,,,,,,
,,Network 13,Average,16.4,,,,,,,,,,,,,,,,
CHICAGO MATH & SCIENCE HS,400035,Network 2,Charter,20.8,,,,,,,,,,,,,,,,
AMUNDSEN HS,609695,Network 2,District,18.2,,,,,,,,,,,,,,,,
LAKE VIEW HS,609719,Network 2,District,17.5,,,,,,,,,,,,,,,,
MATHER HS,609724,Network 2,District,17.4,,,,,,,,,,,,,,,,
SENN HS,609730,Network 2,District,18.3,,,,,,,,,,,,,,,,
SULLIVAN HS,609733,Network 2,District,15.1,,,,,,,,,,,,,,,,
UPLIFT HS,610394,Network 2,District,15.6,,,,,,,,,,,,,,,,
,,Network 2,Average,17.6,,,,,,,,,,,,,,,,
AUSTIN BUS & ENTRP HS,400018,Network 3,District,14.4,,,,,,,,,,,,,,,,
AUSTIN POLY HS,610501,Network 3,District,14.0,,,,,,,,,,,,,,,,
CLARK HS,610244,Network 3,District,16.3,,,,,,,,,,,,,,,,
CLEMENTE HS,609759,Network 3,District,15.4,,,,,,,,,,,,,,,,
DOUGLASS HS,610245,Network 3,District,13.6,,,,,,,,,,,,,,,,
FOREMAN HS,609708,Network 3,District,15.3,,,,,,,,,,,,,,,,
PROSSER HS,609679,Network 3,District,18.1,,,,,,,,,,,,,,,,
STEINMETZ HS,609732,Network 3,District,16.3,,,,,,,,,,,,,,,,
VOISE HS,610518,Network 3,District,14.6,,,,,,,,,,,,,,,,
,,Network 3,Average,15.3,,,,,,,,,,,,,,,,
NOBLE - PRITZKER HS,400054,Network 4,Charter,21.9,,,,,,,,,,,,,,,,
ALCOTT HS,610524,Network 4,District,17.6,,,,,,,,,,,,,,,,
KELVYN PARK HS,609716,Network 4,District,15.0,,,,,,,,,,,,,,,,
LANE TECH HS,609720,Network 4,District,25.6,,,,,,,,,,,,,,,,
LINCOLN PARK HS,609738,Network 4,District,22.3,,,,,,,,,,,,,,,,
,,Network 4,Average,20.5,,,,,,,,,,,,,,,,
NOBLE - ROWE CLARK HS,400056,Network 5,Charter,18.5,,,,,,,,,,,,,,,,
NORTH LAWNDALE - CHRISTIANA HS,400058,Network 5,Charter,15.3,,,,,,,,,,,,,,,,
NORTH LAWNDALE - COLLINS HS,400059,Network 5,Charter,14.5,,,,,,,,,,,,,,,,
MANLEY HS,609722,Network 5,District,14.1,,,,,,,,,,,,,,,,
MARSHALL HS,609723,Network 5,District,15.8,,,,,,,,,,,,,,,,
NORTH-GRAND HS,609691,Network 5,District,15.9,,,,,,,,,,,,,,,,
RABY HS,610334,Network 5,District,14.5,,,,,,,,,,,,,,,,
WESTINGHOUSE HS,609693,Network 5,District,20.7,,,,,,,,,,,,,,,,
,,Network 5,Average,16.2,,,,,,,,,,,,,,,,
NOBLE - BULLS HS,400097,Network 6,Charter,21.7,,,,,,,,,,,,,,,,
NOBLE - GOLDER HS,400053,Network 6,Charter,19.5,,,,,,,,,,,,,,,,
NOBLE - MUCHIN HS,400098,Network 6,Charter,21.8,,,,,,,,,,,,,,,,
NOBLE - NOBLE HS,400051,Network 6,Charter,21.2,,,,,,,,,,,,,,,,
NOBLE - RAUNER HS,400055,Network 6,Charter,20.9,,,,,,,,,,,,,,,,
NOBLE - UIC HS,400057,Network 6,Charter,22.2,,,,,,,,,,,,,,,,
PERSPECTIVES - JOSLIN HS,400064,Network 6,Charter,17.5,,,,,,,,,,,,,,,,
URBAN PREP - WEST HS,400102,Network 6,Charter,16.6,,,,,,,,,,,,,,,,
JONES HS,609678,Network 6,District,26.2,,,,,,,,,,,,,,,,
OGDEN HS,610529,Network 6,District,19.7,,,,,,,,,,,,,,,,
PAYTON HS,609680,Network 6,District,29.6,,,,,,,,,,,,,,,,
WELLS HS,609740,Network 6,District,15.4,,,,,,,,,,,,,,,,
YOUNG HS,609755,Network 6,District,27.9,,,,,,,,,,,,,,,,
,,Network 6,Average,21.6,,,,,,,,,,,,,,,,
INSTITUTO - HEALTH,400104,Network 7,Charter,16.7,,,,,,,,,,,,,,,,
FARRAGUT HS,609704,Network 7,District,15.2,,,,,,,,,,,,,,,,
INFINITY HS,610384,Network 7,District,18.8,,,,,,,,,,,,,,,,
JUAREZ HS,609764,Network 7,District,16.5,,,,,,,,,,,,,,,,
MULTICULTURAL HS,610385,Network 7,District,14.6,,,,,,,,,,,,,,,,
SOCIAL JUSTICE HS,610383,Network 7,District,15.6,,,,,,,,,,,,,,,,
WORLD LANGUAGE HS,610392,Network 7,District,17.5,,,,,,,,,,,,,,,,
,,Network 7,Average,16.4,,,,,,,,,,,,,,,,
UNO - GARCIA HS,400085,Network 8,Charter,17.7,,,,,,,,,,,,,,,,
CURIE HS,609756,Network 8,District,17.4,,,,,,,,,,,,,,,,
GAGE PARK HS,609709,Network 8,District,14.4,,,,,,,,,,,,,,,,
HANCOCK HS,609694,Network 8,District,16.9,,,,,,,,,,,,,,,,
KELLY HS,609715,Network 8,District,17.1,,,,,,,,,,,,,,,,
RICHARDS HS,609682,Network 8,District,14.6,,,,,,,,,,,,,,,,
TILDEN HS,609735,Network 8,District,14.5,,,,,,,,,,,,,,,,
,,Network 8,Average,16.1,,,,,,,,,,,,,,,,
PERSPECTIVES - MATH & SCI HS,400066,Network 9,Charter,17.3,,,,,,,,,,,,,,,,
U OF C - WOODLAWN HS,400077,Network 9,Charter,17.2,,,,,,,,,,,,,,,,
URBAN PREP - BRONZEVILLE HS,400105,Network 9,Charter,16.6,,,,,,,,,,,,,,,,
YOUNG WOMENS HS,400087,Network 9,Charter,15.7,,,,,,,,,,,,,,,,
BRONZEVILLE HS,610381,Network 9,District,14.8,,,,,,,,,,,,,,,,
DUNBAR HS,609676,Network 9,District,14.4,,,,,,,,,,,,,,,,
HYDE PARK HS,609713,Network 9,District,15.7,,,,,,,,,,,,,,,,
KENWOOD HS,609746,Network 9,District,19.2,,,,,,,,,,,,,,,,
KING HS,609751,Network 9,District,20.6,,,,,,,,,,,,,,,,
WILLIAMS HS,610380,Network 9,District,17.1,,,,,,,,,,,,,,,,
,,Network 9,Average,16.9,,,,,,,,,,,,,,,,
